countryFrom,countryTo,thickness
AD,BR,10
AD,DE,6
AD,DK,6
AD,FR,10
AD,IT,18
AE,AT,2
AE,AU,14
AE,BE,6
AE,CA,16
AE,CL,2
AE,CN,2
AE,CO,4
AE,DE,26
AE,DK,2
AE,DZ,40
AE,EG,20
AE,ES,6
AE,FR,20
AE,IE,4
AE,IN,2
AE,IR,2
AE,IT,32
AE,JP,2
AE,MA,4
AE,NL,14
AE,PT,8
AE,RU,2
AE,SA,6
AE,SE,4
AE,SY,12
AE,TW,10
AE,UK,8
AE,US,80
AF,AR,2
AF,AT,2
AF,BD,2
AF,CA,2
AF,CH,6
AF,CN,4
AF,CO,2
AF,DE,14
AF,ES,6
AF,FR,6
AF,GR,4
AF,IE,2
AF,IN,2
AF,IR,2
AF,IT,10
AF,JP,2
AF,NL,2
AF,NP,4
AF,NZ,2
AF,PK,2
AF,PL,2
AF,PT,18
AF,RU,2
AF,SI,2
AF,TH,4
AF,TN,2
AF,TR,24
AF,UK,4
AF,US,4
AF,ZA,2
AL,CA,4
AL,CH,4
AL,DE,2
AL,FR,4
AL,IT,22
AL,JP,2
AL,PT,4
AL,UK,2
AL,US,8
AM,AR,14
AM,AT,8
AM,AU,50
AM,BE,32
AM,BG,22
AM,BN,2
AM,BR,142
AM,BY,2
AM,CA,126
AM,CH,326
AM,CL,10
AM,CN,96
AM,CU,30
AM,CY,2
AM,CZ,66
AM,DE,1340
AM,DK,38
AM,EE,2
AM,EG,14
AM,ES,186
AM,FI,14
AM,FR,656
AM,GE,14
AM,GR,36
AM,HR,8
AM,HU,12
AM,IE,90
AM,IL,42
AM,IN,62
AM,IR,70
AM,IS,12
AM,IT,712
AM,JP,102
AM,KR,78
AM,KZ,8
AM,LT,2
AM,LV,10
AM,ME,2
AM,MN,2
AM,MX,80
AM,NA,36
AM,NL,126
AM,NZ,6
AM,PK,10
AM,PL,184
AM,PT,74
AM,RO,72
AM,RS,8
AM,RU,716
AM,RW,2
AM,SE,30
AM,SG,16
AM,SI,8
AM,SK,18
AM,SY,2
AM,TR,14
AM,TW,98
AM,UA,76
AM,UK,96
AM,US,944
AM,UZ,8
AM,ZA,80
AO,AU,2
AO,BE,2
AO,CA,2
AO,MZ,2
AO,NZ,2
AO,PT,50
AO,UK,2
AR,AT,28
AR,AU,132
AR,AZ,4
AR,BE,184
AR,BG,16
AR,BO,4
AR,BR,886
AR,CA,286
AR,CH,242
AR,CL,996
AR,CN,116
AR,CO,50
AR,CR,2
AR,CU,16
AR,CZ,72
AR,DE,1038
AR,DK,42
AR,DZ,2
AR,EC,16
AR,EE,10
AR,ES,1348
AR,FI,44
AR,FR,1226
AR,GE,6
AR,GR,68
AR,HK,2
AR,HR,28
AR,HU,50
AR,IE,20
AR,IL,64
AR,IN,146
AR,IS,2
AR,IT,752
AR,JP,138
AR,KR,16
AR,KW,4
AR,LB,2
AR,LT,4
AR,MA,4
AR,MX,150
