countryFrom,countryTo,value
UK,US,0.13304
DE,US,0.12169
CN,US,0.11851
CA,US,0.11560
FR,US,0.09830
DE,UK,0.10163
IT,US,0.07922
JP,US,0.06834
AU,US,0.08390
NL,US,0.07575
ES,US,0.07463
FR,UK,0.08469
CH,US,0.08001
DE,FR,0.08818
DE,IT,0.07937
IT,UK,0.07181
NL,UK,0.08770
AU,UK,0.08319
CH,DE,0.10290
DE,NL,0.08314
CA,UK,0.06325
FR,IT,0.07600
SE,US,0.05841
IN,US,0.03706
ES,UK,0.07081
BR,US,0.05144
CH,UK,0.07632
DE,ES,0.07075
ES,IT,0.07240
IL,US,0.05798
ES,FR,0.06964
BE,US,0.04962
CH,FR,0.07796
CA,DE,0.04569
CN,UK,0.03290
DE,RU,0.07358
AT,DE,0.08728
SE,UK,0.06040
KR,US,0.03187
DK,US,0.04966
CA,FR,0.05075
CN,DE,0.03215
AU,DE,0.04515
FR,NL,0.05479
DE,JP,0.03576
DE,SE,0.05580
CH,IT,0.06475
JP,UK,0.03208
BE,UK,0.05635
AT,US,0.04042
IT,NL,0.05041
TW,US,0.04396
RU,US,0.03216
CA,CN,0.03443
BE,FR,0.07041
AU,CA,0.05021
DK,UK,0.05472
US,ZA,0.04714
AU,CN,0.03822
BE,NL,0.08565
CN,JP,0.03042
BE,DE,0.05233
PL,US,0.02860
ES,NL,0.04970
NO,US,0.03488
AU,FR,0.03756
DE,PL,0.04576
PT,US,0.02480
CN,FR,0.02508
DE,DK,0.04846
FI,US,0.03537
FR,JP,0.02785
CA,NL,0.03671
CA,IT,0.02904
FR,SE,0.04226
BR,UK,0.02728
CH,NL,0.04825
CH,ES,0.04911
UK,ZA,0.05155
GR,US,0.03005
IN,UK,0.01884
MX,US,0.03744
PT,UK,0.03108
ES,PT,0.05412
DE,IN,0.01964
AT,UK,0.03701
CN,IT,0.02057
AU,NL,0.03693
NO,UK,0.04051
IT,RU,0.04045
CA,CH,0.03616
BE,IT,0.04380
DK,SE,0.07404
BR,DE,0.02486
IT,SE,0.03489
NL,SE,0.04355
FI,UK,0.03947
CA,ES,0.02960
IT,JP,0.02143
SG,US,0.03421
AU,IT,0.02600
CL,US,0.03549
NZ,US,0.03310
BR,FR,0.02845
DE,IL,0.03494
GR,UK,0.03614
FR,RU,0.03424
IE,US,0.03057
IE,UK,0.04678
AR,US,0.03172
PL,UK,0.02628
NO,SE,0.07295
CA,JP,0.02030
DK,FR,0.03741
DE,FI,0.03633
HU,US,0.02929
FI,SE,0.07317
AU,JP,0.02307
BE,ES,0.04424
ES,SE,0.03682
FR,PT,0.02961
AU,ES,0.02781
BE,CH,0.04822
FR,PL,0.03166
AU,CH,0.03087
DE,PT,0.02272
KE,US,0.03978
