countryFrom,countryTo,value
UK,US,0.06483
DE,US,0.05675
CN,US,0.05290
CA,US,0.04452
FR,US,0.04005
DE,UK,0.05334
IT,US,0.03153
JP,US,0.02677
AU,US,0.02845
NL,US,0.02558
ES,US,0.02480
FR,UK,0.04221
CH,US,0.02388
DE,FR,0.04501
DE,IT,0.04011
IT,UK,0.03530
NL,UK,0.03942
AU,UK,0.03736
CH,DE,0.04475
DE,NL,0.03884
CA,UK,0.03021
FR,IT,0.03949
SE,US,0.01609
IN,US,0.01426
ES,UK,0.03125
BR,US,0.01548
CH,UK,0.03121
DE,ES,0.03255
ES,IT,0.03639
IL,US,0.01207
ES,FR,0.03474
BE,US,0.01167
CH,FR,0.03730
CA,DE,0.02227
CN,UK,0.01650
DE,RU,0.02822
AT,DE,0.02943
SE,UK,0.02318
KR,US,0.01018
DK,US,0.01088
CA,FR,0.02592
CN,DE,0.01629
AU,DE,0.02075
FR,NL,0.02727
DE,JP,0.01760
DE,SE,0.02257
CH,IT,0.03107
JP,UK,0.01538
BE,UK,0.01899
AT,US,0.00870
IT,NL,0.02518
TW,US,0.00861
RU,US,0.00813
CA,CN,0.01705
BE,FR,0.02934
AU,CA,0.02543
DK,UK,0.01733
US,ZA,0.00781
AU,CN,0.01809
BE,NL,0.04089
CN,JP,0.01519
BE,DE,0.01873
PL,US,0.00674
ES,NL,0.02548
NO,US,0.00663
AU,FR,0.01855
DE,PL,0.01644
PT,US,0.00635
CN,FR,0.01258
DE,DK,0.01635
FI,US,0.00643
FR,JP,0.01411
CA,NL,0.01846
CA,IT,0.01470
FR,SE,0.01914
BR,UK,0.01108
CH,NL,0.02442
CH,ES,0.02494
UK,ZA,0.01268
GR,US,0.00551
IN,UK,0.00895
MX,US,0.00553
PT,UK,0.01121
ES,PT,0.02660
DE,IN,0.00957
AT,UK,0.01150
CN,IT,0.01026
AU,NL,0.01881
NO,UK,0.01128
IT,RU,0.01771
CA,CH,0.01753
BE,IT,0.01831
DK,SE,0.03717
BR,DE,0.01058
IT,SE,0.01592
NL,SE,0.02160
FI,UK,0.01056
CA,ES,0.01478
IT,JP,0.01083
SG,US,0.00459
AU,IT,0.01284
CL,US,0.00448
NZ,US,0.00446
BR,FR,0.01340
DE,IL,0.01122
GR,UK,0.00975
FR,RU,0.01476
IE,US,0.00435
IE,UK,0.00998
AR,US,0.00429
PL,UK,0.00882
NO,SE,0.03481
CA,JP,0.01024
DK,FR,0.01464
DE,FI,0.01043
HU,US,0.00399
FI,SE,0.03424
AU,JP,0.01142
BE,ES,0.02088
ES,SE,0.01829
FR,PT,0.01286
AU,ES,0.01410
BE,CH,0.02384
FR,PL,0.01304
AU,CH,0.01548
DE,PT,0.00865
KE,US,0.00368
DK,NL,0.01947
DK,IT,0.01353
AT,IT,0.01356
RU,UK,0.00738
AT,FR,0.01297
CA,SE,0.01286
DE,GR,0.00900
CN,ES,0.00795
DE,NO,0.00883
BR,IT,0.01066
TH,US,0.00342
CN,NL,0.00776
IL,UK,0.00731
DE,HU,0.00905
CZ,US,0.00334
KE,UK,0.00770
NZ,UK,0.00739
AU,SE,0.01442
AU,NZ,0.02065
BR,ES,0.01319
FR,IN,0.00714
CN,HK,0.00999
ES,JP,0.00897
BR,PT,0.01729
BR,CA,0.01033
